occupation_code	occupation_text	display_level	selectable	sort_sequence
396011	Baggage porters and bellhops	3	T	579
396012	Concierges	3	T	580
397010	Tour and travel guides	2	T	581
399011	Childcare workers	3	T	582
399031	Exercise trainers and group fitness instructors	3	T	584
399032	Recreation workers	3	T	585
399041	Residential advisors	3	T	586
399098	Crematory operators and personal care and service workers, all other	3	T	587
410000	Sales and related occupations	0	T	588
411011	First-line supervisors of retail sales workers	3	T	590
411012	First-line supervisors of non-retail sales workers	3	T	591
412011	Cashiers	3	T	594
412012	Gambling change persons and booth cashiers	3	T	595
412021	Counter and rental clerks	3	T	597
412022	Parts salespersons	3	T	598
412031	Retail salespersons	3	T	599
413011	Advertising sales agents	3	T	601
413021	Insurance sales agents	3	T	602
413031	Securities, commodities, and financial services sales agents	3	T	603
413041	Travel agents	3	T	604
413091	Sales representatives of services, except advertising, insurance, financial services, and travel	3	T	605
414011	Sales representatives, wholesale and manufacturing, technical and scientific products	3	T	607
414012	Sales representatives, wholesale and manufacturing, except technical and scientific products	3	T	608
419011	Demonstrators and product promoters	3	T	611
419012	Models	3	T	612
419021	Real estate brokers	3	T	614
419022	Real estate sales agents	3	T	615
419031	Sales engineers	3	T	616
419041	Telemarketers	3	T	617
419091	Door-to-door sales workers, news and street vendors, and related workers	3	T	619
419099	Sales and related workers, all other	3	T	620
430000	Office and administrative support occupations	0	T	621
431011	First-line supervisors of office and administrative support workers	3	T	622
432011	Switchboard operators, including answering service	3	T	624
433011	Bill and account collectors	3	T	628
433021	Billing and posting clerks	3	T	629
433031	Bookkeeping, accounting, and auditing clerks	3	T	630
433041	Gambling cage workers	3	T	631
433051	Payroll and timekeeping clerks	3	T	632
433061	Procurement clerks	3	T	633
433071	Tellers	3	T	634
433099	Financial clerks, all other	3	T	635
434011	Brokerage clerks	3	T	637
434021	Correspondence clerks	3	T	638
434031	Court, municipal, and license clerks	3	T	639
434041	Credit authorizers, checkers, and clerks	3	T	640
434051	Customer service representatives	3	T	641
434061	Eligibility interviewers, government programs	3	T	642
434071	File clerks	3	T	643
434081	Hotel, motel, and resort desk clerks	3	T	644
434111	Interviewers, except eligibility and loan	3	T	645
434121	Library assistants, clerical	3	T	646
434131	Loan interviewers and clerks	3	T	647
434141	New accounts clerks	3	T	648
434151	Order clerks	3	T	649
434161	Human resources assistants, except payroll and timekeeping	3	T	650
434171	Receptionists and information clerks	3	T	651
434181	Reservation and transportation ticket agents and travel clerks	3	T	652
434199	Information and record clerks, all other	3	T	653
435011	Cargo and freight agents	3	T	655
435021	Couriers and messengers	3	T	656
435031	Public safety telecommunicators	3	T	658
435032	Dispatchers, except police, fire, and ambulance	3	T	659
435041	Meter readers, utilities	3	T	660
435061	Production, planning, and expediting clerks	3	T	665
435071	Shipping, receiving, and inventory clerks	3	T	666
435111	Weighers, measurers, checkers, and samplers, recordkeeping	3	T	667
436011	Executive secretaries and executive administrative assistants	3	T	669
436012	Legal secretaries and administrative assistants	3	T	670
436013	Medical secretaries and administrative assistants	3	T	671
436014	Secretaries and administrative assistants, except legal, medical, and executive	3	T	672
439021	Data entry keyers	3	T	675
439022	Word processors and typists	3	T	676
439031	Desktop publishers	3	T	677
439041	Insurance claims and policy processing clerks	3	T	678
439051	Mail clerks and mail machine operators, except postal service	3	T	679
439061	Office clerks, general	3	T	680
439071	Office machine operators, except computer	3	T	681
439081	Proofreaders and copy markers	3	T	682
439111	Statistical assistants	3	T	683
439199	Office and administrative support workers, all other	3	T	684
470000	Construction and extraction occupations	0	T	703
471011	First-line supervisors of construction trades and extraction workers	3	T	704
472011	Boilermakers	3	T	706
472021	Brickmasons and blockmasons	3	T	708
472022	Stonemasons	3	T	709
472031	Carpenters	3	T	710
472042	Floor layers, except carpet, wood, and hard tiles	3	T	713
472044	Tile and stone setters	3	T	715
472051	Cement masons and concrete finishers	3	T	717
472053	Terrazzo workers and finishers	3	T	718
472061	Construction laborers	3	T	719
472071	Paving, surfacing, and tamping equipment operators	3	T	721
472073	Operating engineers and other construction equipment operators	3	T	723
472081	Drywall and ceiling tile installers	3	T	725
472082	Tapers	3	T	726
472111	Electricians	3	T	727
472121	Glaziers	3	T	728
472131	Insulation workers, floor, ceiling, and wall	3	T	730
472132	Insulation workers, mechanical	3	T	731
472141	Painters, construction and maintenance	3	T	733
472151	Pipelayers	3	T	736
472152	Plumbers, pipefitters, and steamfitters	3	T	737
472161	Plasterers and stucco masons	3	T	738
472171	Reinforcing iron and rebar workers	3	T	739
472181	Roofers	3	T	740
472211	Sheet metal workers	3	T	741
472221	Structural iron and steel workers	3	T	742
473011	Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters	3	T	745
473012	Helpers--carpenters	3	T	746
473013	Helpers--electricians	3	T	747
473014	Helpers--painters, paperhangers, plasterers, and stucco masons	3	T	748
473015	Helpers--pipelayers, plumbers, pipefitters, and steamfitters	3	T	749
473016	Helpers--roofers	3	T	750
473019	Helpers, construction trades, all other	3	T	751
474011	Construction and building inspectors	3	T	753
474021	Elevator and escalator installers and repairers	3	T	754
474031	Fence erectors	3	T	755
